k;lu;P0;I;gamma;sgamma;r;Psat;Lsat;loptim;lres;loptim/lres;Psat/Pall;Lsat/lu;f;rho;P0/Pall
3.31E+00;2.69E+00;1.06E+10;7.00E+03;8.37E+03;0.00000E+00;2.00000E-05;1.20E+11;4.00E+00;1.25052E-09;1.24471E-09;4.66685E-03;4.01E-03;1.49E+00;7.49E-01;2.91E-03;3.53E-04
3.16E+00;2.69E+00;1.23E+10;8.00E+03;3.00E+03;0.00000E+00;2.00000E-05;1.40E+11;1.53E+00;9.07442E-09;8.95591E-09;1.32330E-02;1.14E-02;5.69E-01;7.53E-01;8.27E-03;9.99E-04
3.34E+00;2.69E+00;1.06E+10;7.00E+03;3.16E+03;0.00000E+00;2.00000E-05;1.24E+11;1.67E+00;8.95688E-09;8.84713E-09;1.24054E-02;1.10E-02;6.21E-01;7.48E-01;7.75E-03;9.41E-04
3.34E+00;2.69E+00;1.06E+10;7.00E+03;9.49E+03;0.00000E+00;2.00000E-05;1.18E+11;4.50E+00;9.87080E-10;9.83016E-10;4.13393E-03;3.48E-03;1.67E+00;7.48E-01;2.58E-03;3.14E-04
1.73E+00;3.62E+00;2.48E+06;5.00E+02;8.94E+03;0.00000E+00;2.00000E-05;2.22E+09;2.99E+01;5.65471E-10;5.64822E-10;1.14894E-03;9.71E-04;8.25E+00;8.29E-01;9.58E-04;1.08E-06
1.73E+00;3.62E+00;2.48E+08;5.00E+02;2.24E+03;0.00000E+00;2.00000E-05;2.62E+09;5.53E+00;9.09253E-09;9.03713E-09;6.12997E-03;4.59E-03;1.53E+00;8.29E-01;3.83E-03;4.34E-04
3.69E+00;3.62E+00;8.85E+06;5.00E+03;6.32E+03;0.00000E+00;2.00000E-05;7.29E+10;7.79E+00;3.55214E-09;3.53314E-09;5.37839E-03;4.51E-03;2.15E+00;7.40E-01;4.48E-03;5.48E-07
2.60E+00;3.62E+00;4.15E+08;6.00E+02;8.37E+03;0.00000E+00;2.00000E-05;4.90E+09;1.28E+01;1.13501E-09;1.13254E-09;2.17835E-03;1.91E-03;3.54E+00;7.74E-01;1.36E-03;1.62E-04
2.60E+00;3.62E+00;4.15E+07;6.00E+02;3.16E+03;0.00000E+00;2.00000E-05;3.95E+09;7.50E+00;7.97353E-09;7.92779E-09;5.76980E-03;4.07E-03;2.07E+00;7.74E-01;3.61E-03;4.28E-05
3.16E+00;3.85E+00;1.30E+10;7.00E+03;7.75E+03;0.00000E+00;2.00000E-05;1.43E+11;4.45E+00;1.93466E-09;1.92269E-09;6.22651E-03;5.16E-03;1.16E+00;7.53E-01;3.89E-03;4.70E-04
3.16E+00;3.85E+00;1.30E+10;7.00E+03;6.32E+03;0.00000E+00;2.00000E-05;1.46E+11;3.86E+00;2.90602E-09;2.88403E-09;7.62449E-03;6.45E-03;1.00E+00;7.53E-01;4.77E-03;5.76E-04
1.79E+00;3.85E+00;7.26E+07;6.00E+03;1.00E+04;0.00000E+00;2.00000E-05;5.19E+10;1.35E+01;5.02146E-10;5.00895E-10;2.49828E-03;1.69E-03;3.50E+00;8.24E-01;2.08E-03;2.37E-06
1.79E+00;3.85E+00;7.26E+07;6.00E+03;4.47E+03;0.00000E+00;2.00000E-05;6.29E+10;6.40E+00;2.51846E-09;2.50447E-09;5.58658E-03;4.59E-03;1.66E+00;8.24E-01;4.65E-03;5.29E-06
1.65E+00;3.85E+00;1.01E+07;8.00E+03;9.49E+03;0.00000E+00;2.00000E-05;7.11E+10;1.48E+01;5.06445E-10;5.05045E-10;2.77112E-03;1.83E-03;3.83E+00;8.37E-01;2.31E-03;2.60E-07
1.82E+00;1.89E+00;4.13E+05;7.00E+01;8.94E+02;0.00000E+00;1.00000E-04;3.75E+07;1.01E+01;3.14190E-08;3.13764E-08;1.35848E-03;1.17E-03;5.35E+00;8.22E-01;1.13E-03;1.29E-05
1.97E+00;1.89E+00;1.12E+06;8.00E+02;2.83E+03;0.00000E+00;1.00000E-04;7.84E+08;1.52E+01;3.47575E-09;3.47340E-09;6.76714E-04;6.78E-04;8.03E+00;8.10E-01;8.43E-04;9.70E-07
1.97E+00;1.89E+00;1.12E+07;8.00E+02;2.45E+03;0.00000E+00;1.00000E-04;9.70E+08;1.05E+01;4.63662E-09;4.63121E-09;1.16864E-03;9.69E-04;5.57E+00;8.10E-01;9.74E-04;1.12E-05
3.35E+00;1.89E+00;3.44E+07;8.00E+03;8.94E+03;0.00000E+00;1.00000E-04;2.68E+10;1.68E+01;7.81439E-10;7.80954E-10;6.20728E-04;7.33E-04;8.89E+00;7.48E-01;7.76E-04;9.42E-07
3.35E+00;1.89E+00;3.44E+07;8.00E+03;3.00E+03;0.00000E+00;1.00000E-04;2.37E+10;5.48E+00;6.96108E-09;6.94181E-09;2.77557E-03;1.93E-03;2.90E+00;7.48E-01;2.31E-03;2.81E-06
1.21E+00;1.89E+00;4.33E+05;5.00E+02;2.45E+03;0.00000E+00;1.00000E-04;2.98E+08;2.01E+01;2.73007E-09;2.72798E-09;7.66803E-04;4.76E-04;1.06E+01;8.84E-01;6.37E-04;6.92E-07
